url,price
https://flippa.com/8149792-zeus-big-casino-deluxe,"$1,500"
https://flippa.com/8171315-kiguitar-learn-to-play-like-a-pro,$200
https://flippa.com/8155831-spaceman-the-legend-of-a-moon-man,$45
https://flippa.com/8168227-ancient-egyptian-casino-slots,$125
https://flippa.com/8180265-don-t-touch-anything-challenge,$220
https://flippa.com/8168251-finger-goal,$104
https://flippa.com/8136014-real-draw,"$2,050"
https://flippa.com/8155466-millioanair-casino-slots-machine-free-jackpot,$500
https://flippa.com/8144905-cosmo-rush,$51
https://flippa.com/8167165-tall-tower-big-stack,$105
https://flippa.com/8161488-galaxy-rise,$130
https://flippa.com/8173666-square-you,$200
https://flippa.com/8009382-find-mecca-qibla-direction-islamic-application,$200
https://flippa.com/8154370-pinup-style-vegas-slots,$115
https://flippa.com/8151519-3d-tiger-simulation,$50
https://flippa.com/8151574-3d-pterodactyl,$90
https://flippa.com/8151513-tiger-sim-3d,$50
https://flippa.com/8151507-3d-jurassic-simulation,$76
https://flippa.com/8165792-blimb-exercises-for-vision-and-eye-gymnastics,$156
https://flippa.com/8154972-arcsoft-web-builder-design,"$4,250"
https://flippa.com/8044054-caveman-run-hd,$50
https://flippa.com/8131034-aztec-slot-machines-valley-of-ancient-king-slots,$765
https://flippa.com/8152812-terrified-turtle,$54
https://flippa.com/8145460-super-extreme-racing-epic-racing-games-for-boys,$100
https://flippa.com/8109523-zombie-santa-driver,$40
https://flippa.com/8082015-spacetube-unlimited-music-video-playlists,$170
https://flippa.com/8155628-cosmic-bubble-crush-adventure,$205
https://flippa.com/8155635-color-dot-swipe,$30
https://flippa.com/8160325-luxury-designer-wallpapers-for-lock-home-screen,$200
https://flippa.com/8144673-uptodo,$190
https://flippa.com/8135118-tank-battle-tank-1990,$60
https://flippa.com/8171212-red-jump-ball,$180
https://flippa.com/8155841-classifieds-buy-sell-swap-second-hand-stuff,$300
https://flippa.com/8135797-cobi-buy-and-sell-used-electronics,$805
https://flippa.com/8156656-dots-intersection,$59
https://flippa.com/8139487-cash-news-stocks-bank-money-investing-news,$250
https://flippa.com/8139552-basketball-news-go-news-updates-all-basketball,$150
https://flippa.com/8157170-solefleet,$200
https://flippa.com/8149201-step-by-step-html-css-tutorials,"$1,400"
